source_dbc,source_field,target_dbc,target_field,cardinality,domain,description,example,notes
Spell.dbc,SpellVisualID,SpellVisual.dbc,ID,N-1,Sorts,Association visuelle du sort (impact + aura),Pyroblast (ID 11366) → Visual 1234,Champ double dans les versions modernes
Spell.dbc,SpellIconID,SpellIcon.dbc,ID,N-1,Sorts,Icône affichée dans le grimoire,Éclair (ID 403) → Icon 188,Icônes partagées entre sorts
Spell.dbc,SpellCastTimeID,SpellCastTimes.dbc,ID,N-1,Sorts,Temps d'incantation du sort,Boule de feu (ID 133) → 3.5 secondes,0 = instantané
Spell.dbc,SpellDurationID,SpellDuration.dbc,ID,N-1,Sorts,Durée des effets appliqués,Mot de pouvoir : Bouclier (ID 17) → 30 secondes,0 = permanent
Spell.dbc,SpellRangeID,SpellRange.dbc,ID,N-1,Sorts,Portée du sort,Tir des arcanes (ID 5143) → 40 mètres,1 = portée standard
Spell.dbc,SpellCooldownsID,SpellCooldowns.dbc,ID,N-1,Sorts,Temps de recharge du sort,Blizzard (ID 10) → 8 secondes,0 = pas de cooldown
Spell.dbc,SpellCategoryID,SpellCategory.dbc,ID,N-1,Sorts,Catégorie de cooldown partagé,Tous les sorts de givre → Catégorie 133,Partage le cooldown
Spell.dbc,SpellDescriptionVariablesID,SpellDescriptionVariables.dbc,ID,1-1,Sorts,Variables pour la description du sort,"""Inflige $s1 points de dégâts""",$s1 $s2 $s3 = variables
Spell.dbc,SpellEquippedItemsID,SpellEquippedItems.dbc,ID,N-1,Sorts,Item requis équipé pour lancer le sort,Tir mortel (ID 53351) → Arme à distance,Nécessite un type d'arme
Spell.dbc,SpellInterruptsID,SpellInterrupts.dbc,ID,N-1,Sorts,Comportement d'interruption du sort,Contre-sort (ID 2139) → Interrompt les sorts,Définit si interruptible
Spell.dbc,SpellLevelsID,SpellLevels.dbc,ID,N-1,Sorts,Niveau requis pour apprendre le sort,Boule de feu → Niveaux 1 14 22,Définit la progression
Spell.dbc,SpellMissileID,SpellMissile.dbc,ID,N-1,Sorts,Projectile visuel du sort,Flèche de givre (ID 116) → Missile 342,0 = pas de projectile
Spell.dbc,SpellRadiusID,SpellRadius.dbc,ID,N-1,Sorts,Rayon d'effet de zone du sort,Nova de givre (ID 122) → 10 mètres,Pour les sorts de zone
Spell.dbc,SpellScalingID,SpellScaling.dbc,ID,N-1,Sorts,Échelle de dégâts selon le niveau,Frappe du héros (ID 78) → Scaling 145,Détermine la progression
Spell.dbc,SpellShapeshiftID,SpellShapeshift.dbc,ID,N-1,Sorts,Forme animale requise pour le sort,Morsure féroce (ID 22568) → Forme de félin,0 = toutes formes
Spell.dbc,SpellVisualKitID,SpellVisualKit.dbc,ID,N-1,Sorts,Kit visuel détaillé du sort,Nova de givre → Kit avec particules,Liaison directe moderne
Spell.dbc,SpellAuraOptionsID,SpellAuraOptions.dbc,ID,N-1,Sorts,Options d'aura du sort,Aura de vindicte → Options spécifiques,Configure les auras
Spell.dbc,SpellAuraRestrictionsID,SpellAuraRestrictions.dbc,ID,N-1,Sorts,Restrictions d'aura du sort,Anathème → Restrictions de cumul,Limite les cumuls
Spell.dbc,SpellCastingRequirementsID,SpellCastingRequirements.dbc,ID,N-1,Sorts,Conditions d'incantation du sort,Sorts de pêche → Besoin d'une canne,Vérifie l'équipement
